413	359
403	343
383.5	351
381	377.5
339	376
335	383
317	362
334.5	353.5
333	342
282	325
247	301
219	316
225	270
280	292
290	335
337	328
415	335
432	371
418	374
444	394
251	277
234	271
225	265
212	290
227	300
256	301
250.5	306
243	328
246	337
314	367
315	351
326	355
327	350
328	342.5
336	339
336	334
331	335
371	330
371	333
388.5	330.5
411	327.5
419	344
411	343
394	346
342	342
342	348
325	372
315	374
342	372
345	382
348.5	380.5
351	377
348	369
370	363
371	353
354	374
363	382.5
357	387
351	382
369	388
335	395
381	381
391	375
392	366
395	361
398	362
401	359
405	360
410	355
408	350
415	351
418	347
422	354
418.5	356
405.5	364.5
405	368
409	370
417	364
420	370
424	372
438	368
438.5	373
434	376
438	385
440	392
447	392
448	381
444.5	383
441	385
440.5	381.5
445	380
444	360
